product_name,sugars_100g,proteins_100g,categories_tags,ingredients_text,primary_category
Pinto Bean,4.9,17.5,en:asian-style-ready-meal,,Other
Croquetas de bacalao,1.9,5.9,,,Other
Keto & GF Granola,3.2258064516129,19.6774193548387,,,Other
Ben's Pure Maple Cream,37.72,5.68,,,Other
Guimauve chocolat smarties,65.0,5.7,,,Other
Thaï Red Curry (produit préparé),1.20000004768372,1.39999997615814,,,Other
pasta,1.9,6.7,"en:beverages-and-beverages-preparations,en:beverages",,Beverages
Dunnes Stores Irish Beef & Pork Quarter Pounders,0.521739130434783,15.6521739130435,,,Other
Organic Molasses,18.17,6.78,,,Other
Protein Plenty Tamarind Almonds,4.75,27.5,,,Other
About half a mango,57.0,2.7,,,Other
Mamma Mia  American BBQ,2.20000004768372,0.5,,,Other
Eirn original curry Sauce,29.6,5.2,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:spices,en:curry-powder,en:powder,en:sauce-powder","Wheat Flour Sugar Vegetable Fat D Curry Powder (12.3%) (Coriander, Turmeric, Cumin, Ginger, Cassia, Fenugreek, Chilli, Clove, Salt, Mustard Flour, Black Pepper, Garlic Powder, Fennel) Vegetable (Tomato) Salt Flavourings (contains Celery) Glucose Syrup Flavour Enhancers (Monosodium Glutamate, Sodium 5'-Ribonucleotides) Citric Acid Milk Proteins Soya Flour Alleray Advice",Beverages
Donut Milka,18.0,6.0,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts",,Biscuits
Collagen Elixir,14.0,10.0,,,Other
Véritable pâte à tartiner noisettes chocolat noir,32.0,8.0,"en:breakfasts,en:spreads,en:sweet-spreads,fr:pates-a-tartiner,en:hazelnut-spreads,en:chocolate-spreads,en:cocoa-and-hazelnuts-spreads",,Sweets
Mix moderne de Noël blanc et or,89.0,0.3,,,Other
Familjepack Schnitzel Frysta,0.6,13.5,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:meat-analogues,en:vegetarian-patties,en:vegan-patties","Water, breadcrumbs 24.5% (wheat flour, sugar, wheat protein, yeast, salt, vegetable oil (sunflower), spice extract (paprika, turmeric)), soy protein 14%, vegetable oil (rapeseed, sunflower), wheat flour, corn starch, vinegar, stabilizers (methylcellulose, guar gum), citrus fiber, natural flavors, salt, onion powder, garlic powder, acidity regulator (potassium hydroxide), sugar.",Beverages
Focaccia Tomat,3.0,7.7,,,Other
Crème oignon,11.0,5.0,,,Other
Saucisson fin maigre,1.1,27.9,,,Other
Petit Bride Fin Maigre VPF,1.5,30.0,,,Other
Chorizo courbe,4.0,22.0,,,Other
"Sandwich tomate, J serrano y queso.",2.7999999523163,17.60000038147,,,Other
SAND. BLANCO MORTADELA PESTO Y QUESO,1.4,12.5,,,Other
Chorizo,0.0,0.0,"en:meats-and-their-products,en:meats,en:prepared-meats,en:cured-sausages,en:chorizo",,Other
Chorizo,4.0999999046326,22.299999237061,"en:meats-and-their-products,en:meats,en:prepared-meats,en:cured-sausages,en:chorizo",,Other
L'originel 1871,0.9,26.4,,,Other
Le petit bridé,1.5,29.5,,,Other
Saucisson,1.5,29.5,,,Other
Poutargue de mulet,0.2,40.5,"en:seafood,en:fishes-and-their-products,en:fishes,en:lean-fishes,en:mullet",,Other
Coca cola,1.0,0.0,"en:beverages,en:carbonated-drinks,en:sodas,en:colas",,Beverages
Saucisson sec au piment d'espelette,0.7,24.1,"en:meats-and-their-products,en:meats,en:prepared-meats,en:cured-sausages,en:dry-sausages",,Other
Saucisson sec au noisettes,0.3,0.6,,,Other
